norm_relative_enemy_x,norm_relative_enemy_y,norm_player_x,norm_player_y,norm_cooldown,norm_nearest_laser_relative_x,norm_nearest_laser_relative_y,laser_above,player_input
-0.115,-0.704,0.4,0.853,0.0,0.257,-0.783,0,2
-0.121,-0.703,0.407,0.853,0.0,0.251,-0.775,0,2
-0.128,-0.701,0.413,0.853,0.0,0.244,-0.767,0,2
-0.135,-0.7,0.42,0.853,0.0,0.237,-0.759,0,2
-0.141,-0.699,0.427,0.853,0.0,0.231,-0.751,0,2
-0.148,-0.697,0.433,0.853,0.0,0.224,-0.743,0,2
-0.155,-0.696,0.44,0.853,0.0,0.217,-0.735,0,2
-0.161,-0.695,0.447,0.853,0.0,0.211,-0.727,0,2
-0.168,-0.693,0.453,0.853,0.0,0.204,-0.719,0,2
-0.175,-0.692,0.46,0.853,0.0,0.197,-0.711,0,2
-0.181,-0.691,0.467,0.853,0.0,0.191,-0.703,0,2
-0.188,-0.689,0.473,0.853,0.0,0.184,-0.695,0,2
-0.195,-0.688,0.48,0.853,0.0,0.177,-0.687,0,2
-0.201,-0.687,0.487,0.853,0.0,0.171,-0.679,0,2
-0.208,-0.685,0.493,0.853,0.0,0.164,-0.671,0,2
-0.215,-0.684,0.5,0.853,0.0,0.157,-0.663,0,2
-0.221,-0.683,0.507,0.853,0.0,0.151,-0.655,0,2
-0.228,-0.681,0.513,0.853,0.0,0.144,-0.647,0,2
-0.235,-0.68,0.52,0.853,0.0,0.137,-0.639,0,2
-0.241,-0.679,0.527,0.853,0.0,0.131,-0.631,0,2
-0.248,-0.677,0.533,0.853,0.0,0.124,-0.623,0,2
-0.255,-0.676,0.54,0.853,0.0,0.117,-0.615,0,2
-0.261,-0.675,0.547,0.853,0.0,0.111,-0.607,0,2
-0.268,-0.673,0.553,0.853,0.0,0.104,-0.599,0,2
-0.275,-0.672,0.56,0.853,0.0,0.097,-0.591,0,2
-0.281,-0.671,0.567,0.853,0.0,0.091,-0.583,0,2
-0.288,-0.669,0.573,0.853,0.0,0.084,-0.575,0,2
-0.295,-0.668,0.58,0.853,0.0,0.077,-0.567,0,2
-0.301,-0.667,0.587,0.853,0.0,0.071,-0.559,0,2
-0.308,-0.665,0.593,0.853,0.0,0.064,-0.551,1,2
-0.315,-0.664,0.6,0.853,0.0,0.057,-0.543,1,2
-0.321,-0.663,0.607,0.853,0.0,0.051,-0.535,1,2
-0.328,-0.661,0.613,0.853,0.0,0.044,-0.527,1,2
-0.335,-0.66,0.62,0.853,0.0,0.037,-0.519,1,2
-0.341,-0.659,0.627,0.853,0.0,0.031,-0.511,1,2
-0.348,-0.657,0.633,0.853,0.0,0.024,-0.503,1,2
-0.355,-0.656,0.64,0.853,0.0,0.017,-0.495,1,2
0.091,-0.728,0.64,0.853,0.0,0.017,-0.415,1,0
0.091,-0.715,0.64,0.853,0.0,0.017,-0.335,1,0
0.084,-0.713,0.647,0.853,0.0,0.011,-0.327,1,2
0.077,-0.712,0.653,0.853,0.0,0.004,-0.319,1,2
0.071,-0.711,0.66,0.853,0.0,-0.003,-0.311,1,2
0.064,-0.709,0.667,0.853,0.0,-0.009,-0.303,1,2
0.057,-0.708,0.673,0.853,0.0,-0.016,-0.295,1,2
0.057,-0.7,0.673,0.853,0.067,-0.016,-0.247,1,5
0.057,-0.687,0.673,0.853,0.4,-0.016,-0.167,1,0
0.064,-0.685,0.667,0.853,0.433,-0.009,-0.159,1,1
0.071,-0.684,0.66,0.853,0.467,-0.003,-0.151,1,1
0.077,-0.683,0.653,0.853,0.5,0.004,-0.143,1,1
0.084,-0.681,0.647,0.853,0.533,0.011,-0.135,1,1
0.091,-0.68,0.64,0.853,0.567,0.017,-0.127,1,1
0.097,-0.679,0.633,0.853,0.6,0.024,-0.119,1,1
0.104,-0.677,0.627,0.853,0.633,0.031,-0.111,1,1
0.111,-0.676,0.62,0.853,0.667,0.037,-0.103,1,1
0.117,-0.675,0.613,0.853,0.7,0.044,-0.095,1,1
0.124,-0.673,0.607,0.853,0.733,0.051,-0.087,1,1
0.131,-0.672,0.6,0.853,0.767,0.057,-0.079,1,1
0.137,-0.671,0.593,0.853,0.8,0.064,-0.071,1,1
0.144,-0.669,0.587,0.853,0.833,0.071,-0.063,0,1
0.151,-0.668,0.58,0.853,0.867,0.077,-0.055,0,1
0.157,-0.667,0.573,0.853,0.9,0.084,-0.047,0,1
0.164,-0.665,0.567,0.853,0.933,0.091,-0.039,0,1
0.171,-0.664,0.56,0.853,0.967,0.097,-0.031,0,1
0.177,-0.663,0.553,0.853,1.0,0.104,-0.023,0,1
0.184,-0.661,0.547,0.853,0.0,0.111,-0.015,0,1
0.191,-0.66,0.54,0.853,0.0,0.117,-0.007,0,1
0.197,-0.659,0.533,0.853,0.0,0.124,0.001,0,1
0.204,-0.657,0.527,0.853,0.0,0.131,0.009,0,1
0.211,-0.656,0.52,0.853,0.0,0.137,0.017,1,1
0.217,-0.655,0.513,0.853,0.0,0.144,0.025,0,1
0.224,-0.653,0.507,0.853,0.0,0.151,0.033,0,1
0.231,-0.652,0.5,0.853,0.0,0.157,0.041,0,1
0.237,-0.651,0.493,0.853,0.0,0.164,0.049,0,1
0.244,-0.649,0.487,0.853,0.0,0.171,0.057,0,1
